,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
1119,New Mexico Highlands University,Las Vegas,NCAA Division II (with football),741,325053.0,43863.0,207.0,412754.0,412754.0,412754,18.0,18.0,2868.0,51631.0,1.0,226100.0,226100.0
1120,New Mexico Junior College,Hobbs,NJCAA Division I,359,227967.0,9649.0,77.0,370805.0,370805.0,370805,16.0,16.0,3180.0,50874.0,,137838.0,137838.0
1121,New Mexico Military Institute,Roswell,NJCAA Division I,393,1132580.0,43042.0,177.0,633858.0,614302.0,614302,15.0,15.0,4680.0,70204.0,1.0,344344.0,344344.0
1122,University of New Mexico-Main Campus,Albuquerque,NCAA Division I-A,7576,4325626.0,380659.0,370.0,4252499.0,4252499.0,4252499,14.0,14.0,81771.0,1144792.0,1.0,5971891.0,3686141.0
1123,New Mexico State University-Main Campus,Las Cruces,NCAA Division I-A,5331,3382425.0,171070.0,191.0,1774673.0,1774673.0,1774673,18.0,18.0,47001.0,846024.0,1.0,2473939.0,2473939.0
1124,Northern New Mexico College,Espanola,NAIA Division II,334,67825.0,25197.0,27.0,22050.0,18434.0,18434,15.0,15.0,4876.0,73141.0,1.0,228560.0,282466.0
1125,University of the Southwest,Hobbs,NAIA Division I,108,671249.0,23536.0,100.0,774024.0,774024.0,774024,22.0,22.0,2071.0,45556.0,1.0,225995.0,225995.0
1126,Mesalands Community College,Tucumcari,Other,145,40537.0,24178.0,20.0,165194.0,165194.0,165194,,,,,,,
1127,Western New Mexico University,Silver City,NCAA Division II (with football),618,568854.0,33200.0,154.0,348339.0,368841.0,368841,15.0,15.0,3703.0,55539.0,1.0,237561.0,237161.0
1128,Vaughn College of Aeronautics and Technology,Flushing,Other,1140,0.0,4000.0,68.0,44040.0,44040.0,44040,16.0,16.0,1209.0,19340.0,,30080.0,30080.0
1129,Adelphi University,Garden City,NCAA Division II (without football),1392,1651393.0,9512.0,234.0,2158006.0,2158006.0,2158006,14.0,14.0,5896.0,82550.0,,490033.0,490033.0
1130,Adirondack Community College,Queensbury,NJCAA Division III,1192,0.0,4583.0,77.0,74620.0,71913.0,71913,14.0,14.0,933.0,13058.0,,32111.0,27053.0
1131,Globe Institute of Technology,New York,NJCAA Division I,345,175351.0,37500.0,148.0,139592.0,139592.0,139592,15.0,15.0,1588.0,23825.0,1.0,161098.0,161098.0
1132,Albany College of Pharmacy and Health Sciences,Albany,Other,421,2000.0,3993.0,65.0,43316.0,41106.0,41106,13.0,13.0,1535.0,19950.0,0.0,31139.0,30285.0
1133,Alfred University,Alfred,NCAA Division III (with football),931,0.0,27742.0,325.0,407118.0,407118.0,412605,21.0,21.0,1809.0,37993.0,1.0,147571.0,147571.0
1134,Bard College,Annandale-On-Hudson,NCAA Division III (without football),840,0.0,15619.0,143.0,2716084.0,516084.0,516084,18.0,18.0,3512.0,63211.0,,143456.0,143456.0
1135,Berkeley College-New York,New York,Other,1474,0.0,11166.0,45.0,100841.0,100841.0,100841,15.0,15.0,5333.0,79995.0,,103993.0,103993.0
1136,Briarcliffe College,Bethpage,Other,536,278737.0,19861.0,78.0,510490.0,510490.0,510490,,0.0,0.0,0.0,,,
1137,SUNY Broome Community College,Binghamton,NJCAA Division III,1911,0.0,5648.0,117.0,185288.0,184256.0,184256,17.0,17.0,1451.0,24659.0,0.0,41158.0,39457.0
1138,Bryant & Stratton College-Syracuse,Syracuse,NJCAA Division I,127,258158.0,18719.0,26.0,393490.0,393490.0,393490,,,,,,,
1139,Canisius College,Buffalo,NCAA Division I-AAA,1317,2294150.0,75148.0,237.0,3222759.0,3222759.0,3222759,14.0,14.0,18531.0,259438.0,1.0,1546055.0,1546055.0
1140,Cayuga County Community College,Auburn,NJCAA Division III,857,0.0,5880.0,62.0,80043.0,80043.0,80043,9.0,9.0,1946.0,17512.0,,27755.0,27755.0
1141,Cazenovia College,Cazenovia,NCAA Division III (without football),261,0.0,4877.0,131.0,166976.0,166976.0,173174,18.0,18.0,1196.0,21533.0,,35539.0,35539.0
1142,Clarkson University,Potsdam,NCAA Division III (without football),2195,887043.0,45808.0,219.0,3277815.0,2917289.0,2917289,14.0,14.0,2630.0,36813.0,1.0,161273.0,157260.0
1143,Clinton Community College,Plattsburgh,NJCAA Division III,490,0.0,5950.0,47.0,30464.0,30464.0,30464,12.0,12.0,1175.0,14100.0,,25300.0,25300.0
1144,Colgate University,Hamilton,NCAA Division I-AA,1287,5424039.0,102064.0,312.0,4299546.0,4299546.0,4299546,17.0,17.0,13968.0,237460.0,1.0,1498234.0,1498234.0
1145,Columbia University in the City of New York,New York,NCAA Division I-AA,3881,0.0,118536.0,494.0,4529137.0,4529137.0,4529137,16.0,16.0,18472.0,295545.0,1.0,994270.0,994270.0
1146,Columbia-Greene Community College,Hudson,NJCAA Division III,413,0.0,4510.0,43.0,38010.0,35151.0,35151,12.0,12.0,1914.0,22971.0,,43280.0,41807.0
1147,Concordia College-New York,Bronxville,NCAA Division II (without football),273,1218735.0,7583.0,74.0,1186696.0,1186696.0,1186696,14.0,14.0,2422.0,33908.0,,248563.0,248563.0
1148,Cornell University,Ithaca,NCAA Division I-AA,7008,0.0,122548.0,702.0,7791421.0,7417852.0,7417852,17.0,17.0,9478.0,161129.0,1.0,945868.0,945868.0
1149,Corning Community College,Corning,NJCAA Division III,1009,0.0,3975.0,60.0,65643.0,64151.0,64151,15.0,15.0,1300.0,19498.0,,28300.0,28134.0
1150,CUNY Bernard M Baruch College,New York,NCAA Division III (without football),5528,0.0,6067.0,102.0,145167.0,145167.0,145167,14.0,14.0,1357.0,18998.0,,37321.0,37321.0
1151,CUNY Borough of Manhattan Community College,New York,NJCAA Division III,6982,0.0,7333.0,63.0,71602.0,71602.0,71602,15.0,15.0,1796.0,26945.0,,40187.0,40187.0
1152,CUNY Bronx Community College,Bronx,NJCAA Division III,2939,0.0,4750.0,72.0,81561.0,81561.0,81561,14.0,14.0,1725.0,24146.0,,37246.0,37246.0
